"","acao","RMSE_AR","RMSE_SETAR","RMSE_LSTAR","MAE_AR","MAE_SETAR","MAE_LSTAR"
"54","GHM"," 3.561527       "," 3.591533       ","3.58849e+00     "," 2.457327        "," 2.478585        ","2.47136e+00      "
"55","GLT"," 3.506850       "," 3.507445       ","3.53874e+00     "," 2.495137        "," 2.492733        ","2.50972e+00      "
"56","GNE"," 2.880825       "," 3.027488       ","3.02310e+00     "," 1.760943        "," 1.784846        ","1.78513e+00      "
"57","HAE"," 3.020113       "," 3.020620       ","3.01935e+00     "," 2.044918        "," 2.055465        ","2.04970e+00      "
"58","HCI"," 3.060567       "," 3.048970       ","3.05211e+00     "," 1.921670        "," 1.928822        ","1.92543e+00      "
"59","HL"," 4.803446       "," 4.832366       ","4.82684e+00     "," 3.483078        "," 3.499953        ","3.49778e+00      "
"60","HRTG"," 3.383342       "," 3.504036       ","3.48463e+00     "," 2.395845        "," 2.414656        ","2.40051e+00      "
"61","HVT"," 3.238911       "," 3.258902       ","3.22960e+00     "," 2.301037        "," 2.313221        ","2.29784e+00      "
"62","HY"," 3.609876       "," 3.646742       ","3.66772e+00     "," 2.614565        "," 2.618948        ","2.61523e+00      "
"63","HZO","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"64","IBP"," 3.057577       "," 3.033555       ","2.94479e+00     "," 2.337861        "," 2.299998        ","2.24806e+00      "
"65","ICD"," 4.543072       "," 4.827114       ","5.07327e+00     "," 3.258435        "," 3.485401        ","3.76289e+00      "
"66","IO"," 6.740103       "," 6.647025       ","6.65426e+00     "," 4.234511        "," 4.206537        ","4.20521e+00      "
"67","KEYS"," 2.167589       "," 2.101840       ","2.07103e+00     "," 1.610263        "," 1.553417        ","1.53497e+00      "
"68","KN"," 1.127383       "," 1.157337       ","1.14517e+00     "," 0.914103        "," 0.925411        ","9.20206e-01      "
"69","MC"," 2.226316       "," 2.259249       ","2.19198e+00     "," 1.710972        "," 1.714192        ","1.66473e+00      "
"70","MOG.A","17.411601       ","13.735502       ","1.24311e+01     ","17.411601        ","13.735502        ","1.24311e+01      "
"71","MSA"," 1.810408       "," 1.805192       ","1.79679e+00     "," 1.342587        "," 1.337006        ","1.33032e+00      "
"72","MUSA"," 1.936950       "," 1.935885       ","1.90466e+00     "," 1.512686        "," 1.502967        ","1.48004e+00      "
"73","NBHC"," 2.608130       "," 2.639332       ","2.66948e+00     "," 1.831886        "," 1.813940        ","1.81619e+00      "
"74","NEWR"," 3.168931       "," 3.139183       ","3.09745e+00     "," 2.021828        "," 2.031513        ","1.98744e+00      "
"75","NGVC"," 3.938371       "," 3.927493       ","3.87431e+00     "," 2.787362        "," 2.785061        ","2.75652e+00      "
"76","NLSN-old"," 4.482760       "," 4.200073       ","4.46914e+00     "," 3.581834        "," 3.210893        ","3.29551e+00      "
"77","NPTN-old"," 2.648716       "," 2.776382       ","2.77623e+00     "," 1.177347        "," 1.222683        ","1.21977e+00      "
"78","NVRO"," 3.485982       "," 3.471822       ","3.47003e+00     "," 2.393780        "," 2.402258        ","2.40012e+00      "
"79","OVV"," 5.173378       "," 4.998467       ","9.95551e+00     "," 3.243128        "," 3.352330        ","3.59680e+00      "
"80","PSB-old"," 2.432671       "," 2.507293       ","2.98973e+02     "," 1.447955        "," 1.456948        ","1.28195e+01      "
"81","QUOT","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"82","REXR"," 1.976689       "," 1.995379       ","1.81519e+00     "," 1.481756        "," 1.459681        ","1.35999e+00      "
"83","RITM"," 2.641099       "," 2.640790       ","2.64437e+00     "," 1.968309        "," 1.960137        ","1.97118e+00      "
"84","RMAX"," 2.586490       "," 2.249928       ","2.16238e+00     "," 1.945333        "," 1.679136        ","1.62638e+00      "
"85","RYI","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"86","SLCA"," 7.666772       "," 7.160643       ","7.68344e+00     "," 5.041595        "," 4.999061        ","5.06864e+00      "
"87","SSTK"," 3.255071       "," 3.356539       ","3.33740e+00     "," 2.415590        "," 2.466960        ","2.44721e+00      "
"88","SUM"," 2.845490       "," 2.821035       ","2.76394e+00     "," 2.165559        "," 2.127928        ","2.09912e+00      "
"89","TA"," 4.643729       "," 4.744525       ","4.70767e+00     "," 2.796376        "," 2.857482        ","2.85198e+00      "
"90","TCS","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"91","TNET"," 2.260007       "," 2.280276       ","2.24111e+00     "," 1.601304        "," 1.591179        ","1.58095e+00      "
"92","TREC-old"," 3.464617       "," 3.470989       ","3.51610e+00     "," 2.121590        "," 2.138440        ","2.15541e+00      "
"93","TRUP","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"94","VG-old"," 3.232466       "," 3.264921       ","3.26491e+00     "," 1.977354        "," 1.984120        ","1.98554e+00      "
"95","VRTV","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"96","VSTO","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"97","WNC"," 6.800192       "," 6.708664       ","6.71519e+00     "," 6.581322        "," 6.428322        ","6.43753e+00      "
"98","XHR","      NaN       ","      NaN       ","        NaN     ","      NaN        ","      NaN        ","        NaN      "
"99","ZEN-old"," 2.761447       "," 2.797020       ","2.73848e+00     "," 1.989674        "," 1.996822        ","1.96938e+00      "
"100","ZTS"," 1.854625       "," 1.832740       ","1.83102e+00     "," 1.392458        "," 1.371845        ","1.37528e+00      "
"101","AGX","2.46164199065644","2.44921614889175","2.50896426511169","1.70279872500895 ","1.69226875595829 ","1.69490254324907 "
"102","AJX","2.19276300600591","2.05651752302489","2.01599130992023","1.59983791173739 ","1.46459787739768 ","1.43674995849098 "
"103","ALR","5.26770612297604","5.48365616148291","5.4469428812274 ","3.43584912687838 ","3.4904517951833  ","3.46812157808022 "
"104","AMC","11.1028052780411","10.923791550055 ","14.097943573694 ","6.62315611049167 ","6.08786024521406 ","6.22403630513029 "
"105","AMRC","4.05470022357181","4.04123530576857","4.05987893154196","2.83184511924163 ","2.83454039502737 ","2.84105910635758 "
"106","ANET","2.58869519557016","2.60599109473732","2.64882101648533","1.97461327401511 ","1.98799841516909 ","2.00168306299798 "
"107","APAM","2.42258364381711","2.49684736641065","2.30218443990668","1.89124536457959 ","1.90371334571239 ","1.79656057893245 "
"108","APO","3.19051055051187","3.24161737859411","3.53296502707392","2.0397608550841  ","2.03642632835351 ","2.09101204902095 "
"109","APTS-old","3.33301489597322","3.31437072570512","3.31748877727094","1.98661621419107 ","1.97023990320871 ","1.97089592708527 "
"110","ASPN","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"111","AVNS","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"112","AWR","2.29673109762326","2.27910485243142","182622303905261 ","1.44867410351694 ","1.45019621497201 ","6014345277303.44 "
"113","AXR","4.03347941216351","4.00844593332866","4.01950331548423","2.91315382998163 ","2.9250376161768  ","2.93029378841094 "
"114","BDC","2.83372452963909","2.84210568250191","2.86440307628944","2.08095150543035 ","2.08074884341628 ","2.07220774514627 "
"115","BDJ","4.61553645317624","6.01202097851999","16.2369087259877","2.95691711562438 ","3.54046348350855 ","5.98167192232179 "
"116","BERY","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"117","BHR","4.20756404748355","3.98311946408725","3.97502082613064","2.86912273078155 ","2.79079118039833 ","2.77765428382753 "
"118","BPT","3.81850742943576","3.8322326250292 ","3.83691364015094","2.83740622227633 ","2.85437446557173 ","2.85682646461092 "
"119","BRX","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"120","BURL","2.62385104417018","2.60766293224481","2.60252504168726","1.82288592435085 ","1.82723534960282 ","1.81091523922521 "
"121","BXC","3.53797842022848","3.62748029105767","3.63389839534903","2.60172329712136 ","2.6053213548143  ","2.61988564376344 "
"122","CAL","4.47546837402464","4.33650278802082","4.80195151639271","2.93698753216558 ","2.94128672981134 ","3.10711446400625 "
"123","CBZ","2.14994385368594","2.17449270169279","2.19345689202919","1.47144319601871 ","1.46544884292424 ","1.46865147788241 "
"124","CHGG","5.5453187682068 ","5.66841334460675","5.62341578159641","2.98906498567295 ","3.00131392959266 ","2.99229228315713 "
"125","CHMI","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"126","CLW","5.68802095765796","5.87011059184779","5.86898731134032","3.42100719083562 ","3.44305851125262 ","3.4435481079384  "
"127","COR-old","1.42571101753695","1.38100662712588","1.3777237301184 ","1.0291513899205  ","0.996415190469614","0.992354512718763"
"128","CRD.A","3.36482634417465","3.37544533026474","3.42979662971488","2.33331569995108 ","2.33482078315416 ","2.34888492238133 "
"129","CSR","2.41201019624252","2.39369130912262","2.50392208407164","1.6019250472325  ","1.59639942799685 ","1.59137554494705 "
"130","CSV","2.53787635873824","2.54795489566982","2.67827390454982","1.79353456934709 ","1.77882926587932 ","1.7839267898603  "
"131","CVEO","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"132","CW","5.17050366381068","5.26993336575635","4.99536682412841","4.09024548883381 ","4.15588506997371 ","4.02396336950252 "
"133","CWEN","2.06789426272219","2.04855667649698","1.93884362074246","1.61181932231575 ","1.58106283374104 ","1.5094279220567  "
"134","CWT","2.29569166175382","2.31785899216484","2.30350569731073","1.50028385432777 ","1.51221682178489 ","1.50910231644258 "
"135","DBRG","2.53397420835659","2.47728573134289","2.47261601595671","1.92104394318343 ","1.8817344278305  ","1.87708636173404 "
"136","DEA","1.62857115195212","1.58603315064079","1.47728162288492","1.23308304926948 ","1.18678488532392 ","1.12002020984641 "
"137","DHX","4.20316706546311","4.2453097358938 ","4.21803175238759","2.89468890513427 ","2.89781584835809 ","2.88253291617487 "
"138","DNOW","3.38802367545971","3.31013878095325","3.31073337647047","2.43911550482575 ","2.38851334937822 ","2.38903402185275 "
"139","DOOR","11.485827360713 ","13.6732050147645","13.7978079308786","7.79062653441367 ","9.48569792068216 ","9.58447951404417 "
"140","DS-old","7.11881797483841","7.53512496181313","7.60338970786753","4.55415977028517 ","4.63221170831558 ","4.65578805995161 "
"141","EARN","NaN             ","NaN             ","NaN             ","NaN              ","NaN              ","NaN              "
"142","EPAC","2.9561803645652 ","2.97786400238097","3.1034839338066 ","2.14958794117008 ","2.15096615909391 ","2.13773238649275 "
