AR,SETAR,LSTAR,TRUE_RETORNO,ACF,BDS,BDS_3,BDS_4,BDS_5
-0.06187271311478101,0.06655303295431735,0.04869548280342717,1.3528954940319429,0,1,1,1,1
-0.05314559589610715,0.02388239269473704,0.01596948147019489,1.334836282342721,0,1,1,1,1
-0.06063205184469765,-0.03287181040726358,-0.04399304541132229,0.4410150477552569,0,1,1,1,1
-0.1032858716024619,-0.15024679277432637,-0.17432662536421695,-1.7758513300979852,0,1,1,1,1
-0.10087900085966266,-0.12909814479577109,-0.16281147907863275,-1.9220489940107652,0,1,1,1,1
-0.02208971037980577,-0.3944926650110302,0.20170759753763656,3.2568852763534775,0,1,1,1,1
-0.02791594131757447,0.10250350485330298,0.01512528670338847,1.5351178655760758,0,1,1,1,1
-0.067835071907965,0.02397863128607538,-0.07273539102114067,-0.217865009922215,0,1,1,1,1
-0.02443083756627369,-0.22503971782680315,0.07327578422189057,1.5151805020602247,0,1,1,1,1
-0.06605303671830985,0.03014306252818177,-0.06706104789618869,-0.3227544490866599,0,1,1,1,1
-0.07142278930505137,-0.0498275933695471,-0.08223703456801201,-1.0834342165710118,0,1,1,1,1
-0.1595684655203892,0.1912574780716934,-0.34190856436513273,-5.255541376798751,0,1,1,1,1
0.02518952045832616,-0.5097470220140037,-0.9763417031719364,4.050047326263368,0,1,1,1,1
-0.10247300046849116,-0.3500889892502581,-0.2523657613278085,-2.6817249511176646,0,1,1,1,1
-0.19272498448252656,0.2911867193981063,-0.3641730593647301,-7.036899992689019,0,1,1,1,1
-0.13086117478521264,-0.05879725497695193,0.4481556547163911,-3.587273942993413,0,1,1,1,1
-0.1846437434041922,0.09925100784788182,0.8266926657039534,-5.169109323917968,0,1,1,1,1
-1.3841562257990714e-5,-0.4400865145613937,-0.7116300533525421,2.6179505581771076,0,1,1,1,1
-0.10828672944990102,-0.2772355956598694,-0.24115273466801668,-3.0166221825592388,0,1,1,1,1
-0.09545819127402964,-0.09191448823683968,0.25711684030253623,-2.0175533035258444,0,1,1,1,1
0.01757228533816267,-0.42824616315794656,0.22324397545198785,3.602791255558068,0,1,1,1,1
