AR,SETAR,LSTAR,TRUE_RETORNO,ACF,BDS,BDS_3,BDS_4,BDS_5
0.15231490413803322,0.333894809647605,0.33326500266812176,4.281272131131464,1,1,1,1,1
0.04421616291830931,-0.2607576439839278,-0.2620402555125466,2.187767165387599,1,1,1,1,1
0.17107816859174363,-0.09581123463741864,-0.09906052846014764,4.455079697633871,1,1,1,1,1
-0.04199622984421064,-0.2001623054731055,-0.20297229673244832,0.5431843887529297,1,1,1,1,1
-0.21552966767833023,-0.3670541195048167,-0.3639014405404833,-2.634620003947098,1,1,1,1,1
0.00686128774807723,0.1303632685591545,0.13029089266987157,1.4356955599506798,1,1,1,1,1
0.04967884391587936,0.07444599318344566,0.06648604125172547,2.16928246153809,1,1,1,1,1
0.5715783025205815,-0.23366917416087796,-0.2458100612192764,11.060425392617908,1,1,1,1,1
-0.38107215232053376,-0.7048289513868344,-0.7003574995363768,-5.936460904563424,1,1,1,1,1
-0.11053656908266012,0.08726137816543128,0.08601000311976376,-0.818837737142284,1,1,1,1,1
-0.32030151447011823,-0.4824276571261826,-0.47939213403338793,-4.627534338396212,1,1,1,1,1
-0.3163048559291519,-0.31408967432387086,-0.3133152725871461,-4.513699581405147,1,1,1,1,1
0.08761375941581236,0.33544099492064794,0.3338201195685341,2.7764137595199467,1,1,1,1,1
-0.405962052256188,0.2966628935656933,0.2815168147694602,-6.329796198815635,1,1,1,1,1
0.32907440360456486,0.8239831422261545,0.8197008313328922,7.743631605283296,1,1,1,1,1
-0.11533050246563424,-0.5241888642417245,-0.5214089172230759,-0.976676239899606,1,1,1,1,1
-0.13339669580653907,-0.18424710925676144,-0.1824538638340981,-1.3172528552225409,1,1,1,1,1
0.00960888394973617,0.0749294830467572,0.07558480549897978,1.5351178653525814,1,1,1,1,1
-0.19522521514023977,0.32947678527063873,0.3163222794610154,-2.53457093709238,1,1,1,1,1
-0.05723263923251803,0.00922205544401318,0.00961877426311719,0.2229655312261045,1,1,1,1,1
-0.06879324734457377,-0.12083193458738448,-0.11880063368449398,0,1,1,1,1,1
-0.1536666697059228,-0.25700153362802747,-0.25454238065459345,-1.684486769711585,1,1,1,1,1
-0.5164129279520019,-0.8055255982686698,-0.801676802165036,-8.75262835380483,1,1,1,1,1
-0.1102164162471301,0.17684856132422289,0.1740881051835892,-0.7444203118824958,1,1,1,1,1
-0.00897964446393645,0.01779577781533586,0.01883111986162835,1.2376395612815572,1,1,1,1,1
0.2030375293458999,0.2984260800573018,0.2991423922714128,5.387298993598886,1,1,1,1,1
0.0420020769818653,-0.4047764566577178,-0.4035874158535131,2.1902892887262984,1,1,1,1,1
0.04038124711198711,0.00366432329069582,-0.00228773000819865,2.1433420605660634,1,1,1,1,1
-0.04760277224293849,0.09869756395219416,0.09062900725121742,0.4454350336501108,1,1,1,1,1
-0.08169648549397181,-0.1560885220352833,-0.15389504422037986,-0.22246950242403055,1,1,1,1,1
-0.11047082237653832,-0.17672182008903048,-0.1747339565531766,-0.756841998729245,1,1,1,1,1
-0.3596930452870888,-0.5727648755840803,-0.5695064414159384,-5.510375932518039,1,1,1,1,1
-0.01699865501406166,0.20734515220688343,0.2058167464714004,1.1022769294832624,1,1,1,1,1
0.04449574184408012,0.03242159016557958,0.0341363290590197,2.2878782389349346,1,1,1,1,1
0.00815393930501756,0.02365347620776237,0.01726306561310227,1.5357655644452706,1,1,1,1,1
-0.2866623535854903,0.40469031101844144,0.38970697914543695,-4.189721089086106,1,1,1,1,1
-0.12354556870190476,-0.02641808936944983,-0.02654875811358009,-0.9828088925770908,1,1,1,1,1
-0.042298006487759283,-0.02253757217527345,-0.02138558838713735,0.6153865574602279,1,1,1,1,1
-0.06097916522103867,-0.12288366144834448,-0.1207385671944248,0.24509816119874492,1,1,1,1,1
-0.16306821005428246,-0.2806665853349703,-0.27813848637324473,-1.7284380899263303,1,1,1,1,1
-0.2389810490858311,-0.3216546806144685,-0.3197754716903156,-3.1628189769317054,1,1,1,1,1
-0.05438087892072485,0.05286744022354231,0.05289062545069908,0.3848625650048408,1,1,1,1,1
0.12938935211208985,0.20475434796330455,0.2056672297374288,3.89251903199397,1,1,1,1,1
-0.14878404691654454,-0.03116133175184193,-0.03737823863659034,-1.4888612487011017,1,1,1,1,1
-0.15048210081301486,-0.18367850424970944,-0.18215344147867416,-1.5113637803103372,1,1,1,1,1
-0.19180643586221996,-0.2520867463019334,-0.25033461693806724,-2.310757501853504,1,1,1,1,1
-0.24426734968566233,-0.30821791167971674,-0.3066093420454442,-3.300629646945916,1,1,1,1,1
0.02758919592985907,0.19887733996998433,0.19834293582048013,1.993421490160091,1,1,1,1,1
-0.19812840224741707,0.22779542979447093,0.21634923581586896,-2.3969190101980535,1,1,1,1,1
-0.09012401108569212,-0.03999547755759981,-0.03933717948649561,-0.26990569812327364,1,1,1,1,1
-0.2609450100392222,-0.41954187894304096,-0.41669199036788857,-3.5767223855943677,1,1,1,1,1
-0.0275278916400127,0.11534015733134512,0.1149611762562347,0.9756174937521002,1,1,1,1,1
-0.5513647973221353,-0.9555954930011216,-0.9502974091914232,-9.295511878672505,1,1,1,1,1
-0.11164658615359511,0.19270638000715,0.18959195304826387,-0.6106889212902562,1,1,1,1,1
-0.29734203537710874,-0.4596201456808832,-0.4567702055460563,-4.222675816844488,1,1,1,1,1
-0.4960269235898488,-0.6593186772067203,-0.6574210525943767,-7.8047893544731695,1,1,1,1,1
0.13115320279961443,0.5340674910089429,0.5304245938852932,4.227172036372283,1,1,1,1,1
0.13647440556447826,-0.3624753588740268,-0.3617230863350218,4.214562144788708,1,1,1,1,1
-0.2400615879022573,0.00913502745604155,0.00189317443581649,-3.0622860196077606,1,1,1,1,1
0.02280489170508637,0.1793392111613972,0.17892969586757165,2.1053409184215983,1,1,1,1,1
-0.00223252271257336,0.01841924420096635,0.01173782909117671,1.5898586068471312,1,1,1,1,1
-0.10818739979227315,0.18894982840047303,0.17887176840381103,-0.4743091882148616,1,1,1,1,1
-0.2408960303746226,-0.37586088303428833,-0.3733075855540172,-3.057358003459385,1,1,1,1,1
0.11012842921596828,0.32921966503146466,0.328311345553147,3.8466280833723863,1,1,1,1,1
-0.05401943671936578,-0.1461665635815788,-0.1502103027272917,0.626961299528176,1,1,1,1,1
0.2536861210131668,0.4181592700486622,0.4184024391351998,6.648974127613082,1,1,1,1,1
-0.02255730293703495,-0.4835933986068746,-0.4809574755003748,1.1628038004118455,1,1,1,1,1
-0.11188670700074924,-0.23061058780904256,-0.22794387540778188,-0.579711768879948,1,1,1,1,1
-0.24249305037491337,-0.37900524593469553,-0.37654563619488934,-3.099879201436795,1,1,1,1,1
-0.02354475052155399,0.10249574681412787,0.1023398694215724,1.1922644944126928,1,1,1,1,1
