AR,SETAR,LSTAR,TRUE_RETORNO,ACF,BDS,BDS_3,BDS_4,BDS_5
-0.2070339511827096,-0.6399743388951673,-0.630693189069986,3.903268517552787,1,1,1,1,1
0.09932811745560528,0.1018986810165799,0.09943051984000029,-1.4203823509857607,1,1,1,1,1
-0.10514732401136978,-0.06178118816792771,-0.06573976620023181,2.156417788409265,1,1,1,1,1
-0.16402734566888505,-0.5179165225736202,-0.5114254137492724,3.2144453328265814,1,1,1,1,1
-0.1463089867334368,-0.34072405824203356,-0.33386409400903977,2.989093764488042,1,1,1,1,1
0.03803040486092582,-0.10197929363441066,-0.101813482886925,-0.250941164589817,1,1,1,1,1
0.01417368029458774,0.0709144856800189,0.06856424836500488,0.18826488449898995,1,1,1,1,1
0.07781277419084942,0.1342496610058947,0.13311661570480593,-0.9448889208223242,1,1,1,1,1
0.08417518331140436,0.10337901757648818,0.10369795302885644,-1.081779563067534,1,1,1,1,1
0.04438234886738153,0.06639258649498622,0.06581393826163434,-0.3846158577331298,1,1,1,1,1
0.1017688823636868,0.13533004762156664,0.13552825121568557,-1.4230511823787806,1,1,1,1,1
0.1249704788724248,0.11799148130371843,0.11996123825089106,-1.8409461395776892,1,1,1,1,1
-0.05739602214351973,-0.03875137941355088,-0.04114733425385614,1.3838771100704776,1,1,1,1,1
0.0765582744937802,0.17199762634682544,0.16858688912918818,-0.9865255949278892,1,1,1,1,1
-0.1960187135617067,-0.12173642861386308,-0.12879375661452708,3.8254259233934,1,1,1,1,1
0.13223914086696092,0.14090581054648144,0.13751449282278244,-1.8620120637008148,1,1,1,1,1
0.02355447124731013,0.0227865798038877,0.02248598511248671,0,1,1,1,1,1
0.04086507237282368,0.09665812696876104,0.0946368264637394,-0.2595718492990472,1,1,1,1,1
0.1994027365659765,0.21720671176124395,0.21950404960324071,-2.967576817877741,1,1,1,1,1
0.19423970260226,0.10695530095393448,0.1122516995980101,-2.9464275978356844,1,1,1,1,1
0.1069574988281734,0.03714834465936155,0.0402784163018868,-1.5417263995268733,1,1,1,1,1
-0.07177999767116892,-0.05084283003407039,-0.05374303937074955,1.541726399526871,1,1,1,1,1
0.08125598276208416,-0.19684586080081745,-0.19653710810514816,-1.048594015153737,1,1,1,1,1
0.21128310322001972,0.19255078995609912,0.19620348017273745,-3.28600994237743,1,1,1,1,1
0.01343075862171421,-0.04953276243551507,-0.04835246906208085,0.07259528692773456,1,1,1,1,1
-0.1162281407865018,-0.02678363622501631,-0.03268740265481263,2.295653176616443,1,1,1,1,1
-0.21968312951094435,-0.5500089258145828,-0.5406886966115688,4.099219285492591,1,1,1,1,1
0.1068628461329771,0.1610112329439003,0.1586457925307812,-1.5089449587931287,1,1,1,1,1
-0.04611509745549147,-0.02552884507041026,-0.02790579109685729,1.099667444967706,1,1,1,1,1
-0.01032853668578057,0.09824487197768664,0.09380438181600172,0.4773278683896303,1,1,1,1,1
0.00306852104955352,0.0877078017552181,0.08456691458958941,0.20387367581428573,1,1,1,1,1
-0.10068166667582748,-0.0020821073492565,-0.00752946156561285,1.949641583780595,1,1,1,1,1
-0.07375502803003003,-0.4048288240765189,-0.4021823761212944,1.5196856709428943,1,1,1,1,1
0.00621284702923781,-0.3451425868621078,-0.3445738954140214,0.19652806775667203,1,1,1,1,1
-0.06957059813963151,0.02212325134222725,0.0173633600278705,1.4940193442432397,1,1,1,1,1
0.11566347588283668,-0.17658628185416972,-0.17615297129171875,-1.624995129515864,1,1,1,1,1
-0.06668012720042635,-0.0471400828048736,-0.04979896524159975,1.4313842275554882,1,1,1,1,1
-0.07281570342073215,-0.4580514706365143,-0.05212448500524474,1.5384918853259288,1,1,1,1,1
-0.5525127370194401,-1.1840544788173943,-1.1469536841578891,9.865871938135731,1,1,1,1,1
-0.03853554096670625,0.6992688696011105,0.7066974762526858,1.08914805317019,1,1,1,1,1
-0.1230567452467094,0.01587920550065677,-0.00422189271792397,2.5887771001480075,1,1,1,1,1
-0.02240764411608197,-0.2275372563205267,-0.2311220046188882,0.8298802844973875,1,1,1,1,1
-0.0198054837167561,0.08705724379394748,0.07757458426734637,0.7683901642317301,1,1,1,1,1
-0.12021929289307696,0.00869290117256414,-0.00571007156040133,2.537248118019071,1,1,1,1,1
0.13896560690306986,-0.01107004709477849,-0.00837087693835397,-2.046382661306417,1,1,1,1,1
-0.05556209710920695,-0.05808637768518306,-0.061618150944268917,1.351006765481483,1,1,1,1,1
0.02195411830198132,0.14021965517013996,0.13113037169078778,0,1,1,1,1,1
0.10409980831220984,0.1513514197501683,0.1490597752266608,-1.459879942644652,1,1,1,1,1
0.07718201070757905,0.07083023190997868,0.07115913552992016,-0.9852296405639808,1,1,1,1,1
0.02761609516565856,0.04904923667131685,0.0461609164810939,-0.11007156130209396,1,1,1,1,1
0.03262064286545239,0.09154357203903309,0.08670772139943841,-0.22050725088565193,1,1,1,1,1
0.11368588707930524,0.14938895124303553,0.1481722381522505,-1.6694878633233046,1,1,1,1,1
-0.00475257267577706,-4.6935720942160863e-4,-0.00288642579671324,0.44792908288556166,1,1,1,1,1
0.01801188038724339,0.10277165641648728,0.0959196545300808,0.05585032445991721,1,1,1,1,1
0.1183570712286191,0.1643269157288828,0.1648149078043397,-1.746031404613796,1,1,1,1,1
