AR,SETAR,LSTAR,TRUE_RETORNO,ACF,BDS,BDS_3,BDS_4,BDS_5
-0.10806420347000978,0.00363284127892885,-3.670027837729961e-4,-4.597722279281734,0,1,1,1,1
-0.02174694878463379,-0.1678793088113737,-0.16457523275753594,2.0848566121543515,0,1,1,1,1
-0.06201902237140058,-0.2231265463796011,-0.22118801176176467,-1.1760772014439738,0,1,1,1,1
-0.06688856120985225,0.06709086203839784,0.06166571696617765,-1.542807600168688,0,1,1,1,1
0.00796545618614803,-0.17917892173507569,-0.17537171722593276,4.491255668082285,0,1,1,1,1
0.10565372197812796,0.4968993462486648,0.48666886427903433,9.4695740460877,0,1,1,1,1
0.10560094965260708,0.15421638619596967,0.14586604260577146,6.944349724988719,0,1,1,1,1
-0.00600826810874171,-0.1975949839425966,-0.19990228652529585,1.4798221098949882,0,1,1,1,1
-0.03303454953777103,-0.06785031046529327,-0.06731055177951345,0.22573373016498643,0,1,1,1,1
-0.01972400505901882,0.04236392056476702,0.04258120689224855,0.7860792863934641,0,1,1,1,1
0.03469765256932283,0.2548625938933823,0.25343283909613196,3.2465024465780563,0,1,1,1,1
-0.03242680360846609,-0.15258344411888902,-0.15255258062292887,0.10822511878848295,0,1,1,1,1
0.0246172446281804,-0.03828710487249485,-0.03873128134275765,2.720893376740697,0,1,1,1,1
0.01913160897846039,0.08702536116137254,0.08552642535112702,2.3408090898014806,0,1,1,1,1
-0.0604299169204023,-0.2330505298836819,-0.23154490507437375,-1.2416093283989895,0,1,1,1,1
0.06306818379011245,-0.12865591308049165,-0.12540684318026205,4.379518602778136,0,1,1,1,1
0.01567789146494808,-0.00848571329385514,-0.01064309001830714,2.07107994425616,0,1,1,1,1
0.0375819254507919,0.17367170470718662,0.17212970737028074,2.8387761422353113,0,1,1,1,1
-0.02531731286306485,-0.104526246783628,-0.1043136975042093,0.18957351648991977,0,1,1,1,1
-0.07776060677813929,-0.23124489861507047,-0.05255737720022924,-2.153708514438377,0,1,1,1,1
-0.04757810791000018,0.00959792191243105,0.00655207642181451,-0.6796142662834714,0,1,1,1,1
-0.09241242851437503,0.11548909694992925,0.1081947731133278,-2.6154957476851317,0,1,1,1,1
-0.15425388732779818,0.1155262123814626,0.10651614465675475,-4.919024419077179,0,1,1,1,1
-0.1529128979259366,0.01131346092201426,0.00510455054099479,-4.512043528046954,0,1,1,1,1
-0.16945462652698107,0.00237213888517184,-0.00463664442161387,-4.782908768988129,0,1,1,1,1
-0.2430307002942437,-0.00585279564319501,-0.01541000474461976,-6.673112486636838,0,1,1,1,1
-0.04947301889964745,-0.20645887440727895,-0.2045931076958987,-0.3085469896154216,0,1,1,1,1
0.00657096086816874,1.839165412108896e-4,-0.00161373297214135,1.4724192393936664,0,1,1,1,1
-0.07340184684978245,-0.17611256431678257,-0.17384732643748116,-1.1022769290750434,0,1,1,1,1
-0.0790448927970758,0.02354493018425186,0.01854069214764476,-1.2391732295163385,0,1,1,1,1
0.10018773085545722,-0.10099884659168162,-0.09705030098345492,4.688834498215583,0,1,1,1,1
0.13497083062282397,0.3292677807769592,0.32317318241451837,5.384802946090921,0,1,1,1,1
-0.00783291275891836,-0.129152999438357,-0.13081368484892725,0.8978735965275964,0,1,1,1,1
0.03647257766480354,0.1654715475110584,0.16422633732967262,2.210034700066614,0,1,1,1,1
0.00918390181949892,0.03423753406618488,0.03348241434765804,1.3029500290333678,0,1,1,1,1
-0.00510520082193463,0.02424606706678922,0.0243687362019373,0.8592963722831817,0,1,1,1,1
-0.067852525534222,-0.1521263408618811,-0.14981822375724868,-1.0752791776261736,0,1,1,1,1
0.07424720883476116,-0.04748424656830297,-0.04577419710185271,3.296417553897619,0,1,1,1,1
-0.07427926670208837,-0.2538621886507089,-0.25231031221738126,-1.316154824279635,0,1,1,1,1
-0.074748737909636,0.02277858032557451,0.01786532169089365,-1.28001747669619,0,1,1,1,1
-0.04990611481763567,0.00916691330240798,0.00540266819945458,-0.4842624475788015,0,1,1,1,1
-0.03402771624240015,0.0346839399172497,0.03090275695934919,0,0,1,1,1,1
-0.03733393608979218,0.05588079211051074,0.05137603620294139,-0.16194335523028827,0,1,1,1,1
0.0496622570701085,0.00679629310590279,0.00655694390005116,2.507466659637566,0,1,1,1,1
0.1506051229112931,0.4232939879797345,0.4180741682417919,5.334598070529271,0,1,1,1,1
0.04234293970982522,0.00727748504562442,0.0045987484165646,2.027263494245619,0,1,1,1,1
0.00806311543204457,0.01621205165243913,0.015806843830241,0.9741918253629694,0,1,1,1,1
0.10363028386795756,0.32447307432299877,0.3216039350076782,3.66445949446454,0,1,1,1,1
0.04301270761915369,0.05928782742176571,0.05741492270016993,1.851904776723753,0,1,1,1,1
0.04048645281592825,0.10835757856832026,0.10724686078038556,1.7281012127177569,0,1,1,1,1
-0.0622854789042538,-0.18469136410277395,-0.18278345978455685,-1.1791519842406095,0,1,1,1,1
-0.04937454041126753,0.03957679958663349,0.03536993376223046,-0.8245580386751544,0,1,1,1,1
-0.04697320014079527,0.05382236264059711,0.04934151466171845,-0.7850421291998233,0,1,1,1,1
-0.15638009563490876,0.0982267358414498,0.08923972279153111,-3.7793822513044137,0,1,1,1,1
-0.1575622681573736,-0.03373665214987811,-0.03975934162032676,-3.6777864000946465,0,1,1,1,1
-0.07191056336396867,-0.06507401360502196,-0.06773843736303846,-1.3578282539943582,0,1,1,1,1
-0.11450021998637698,0.04465410816301429,0.03816297781993551,-2.460400892085585,0,1,1,1,1
0.0888188560507201,-0.07187531608322628,-0.06928476572216183,2.9654524706924494,0,1,1,1,1
0.21927556065083065,0.5248372872970034,0.5185208686307288,6.201645170486122,0,1,1,1,1
0.06532190445700367,0.0154903955927925,0.01249334675796004,2.1083001563004227,0,1,1,1,1
0.06340751703865011,0.1326199850048931,0.13103565696692354,2.019343513730545,0,1,1,1,1
-0.03981556922539196,-0.135304594188375,-0.1341960350507173,-0.5466984003598814,0,1,1,1,1
-0.08426980279429146,0.07199848154150146,0.06570477923114534,-1.6118239806529189,0,1,1,1,1
0.03393627268853533,-0.00952672355697432,-0.00992761233614842,1.428924981335673,0,1,1,1,1
0.12985847507234974,0.3399074252735379,0.33652625057757124,3.860443457586795,0,1,1,1,1
-0.04848579638796774,-0.20677727554234696,-0.2058740291456524,-0.7957601673313975,0,1,1,1,1
0.05319664777012141,0.02450840225650275,0.02403987382383124,1.8470182062401057,0,1,1,1,1
-0.07341371488836232,-0.22051207202764728,-0.21856213681242712,-1.4483465818579713,0,1,1,1,1
-0.16037276134901318,0.06133257906854591,0.05290286629851941,-3.600749028304973,0,1,1,1,1
-0.09981030706316107,-0.05286098824589475,-0.05673383108713352,-1.9903457310610448,0,1,1,1,1
-0.02669688465710015,-0.0037066194821486,-0.00605309870088208,-0.1403509002320198,0,1,1,1,1
-0.08644238050302508,0.08445460050892503,0.07843170624640772,-1.4144507386164624,0,1,1,1,1
-0.05074545016170263,0.02436419235166555,0.02083756232187156,-0.5714301263438551,0,1,1,1,1
0.00192507346438102,0.05419688665980854,0.05165717469070713,0.6663518230770694,0,1,1,1,1
0.04190783066481458,0.10177338960700076,0.10099395192582712,1.5533378928430044,0,1,1,1,1
-0.02722550677187445,-0.09359026544552852,-0.09356811958689668,-0.0934579507277104,1,1,1,1,1
-0.10601942259072852,0.08182084793071437,0.07681254321217441,-1.840108537089129,1,1,1,1,1
0.00951180043312912,0.00694803513081544,0.00551629551962522,0.7590169266675653,1,1,1,1,1
0.08463253006518076,0.18864190797714075,0.1873915098741405,2.381620855816922,1,1,1,1,1
-0.12336846714138164,-0.35716100697831166,-0.3562789357834183,-2.3816208558169154,1,1,1,1,1
0.02065787365074561,-0.00956002314719275,-0.01038051874180238,0.9407407101895326,1,1,1,1,1
-0.05753957962943729,-0.16072984091747625,-0.1606251601048103,-0.8462673918733654,1,1,1,1,1
0.01109550407434121,0.04144869063240802,0.039410720861296,0.8462673918733729,0,1,1,1,1
-0.09594739036000748,-0.24721328903339052,-0.2469003218138547,-1.699757636857102,0,1,1,1,1
-0.07275174701145334,0.0219144049651489,0.01882854341327192,-1.1494379425735022,0,1,1,1,1
-0.11278187940104208,0.04600220600135592,0.04169645025744822,-2.043866767727407,0,1,1,1,1
-0.20626276774705865,0.00893394868169614,0.00786573326632586,-4.268787710094447,0,1,1,1,1
-0.06852309085746618,-0.08871579974546649,-0.08887055384553733,-0.9278417079046388,0,1,1,1,1
-0.11543648958694958,0.0375816470575966,0.03725220207049293,-1.9875131219191504,0,1,1,1,1
-0.071611205921359,0.00148733276876469,-0.00125474908985394,-0.955421280481161,0,1,1,1,1
0.11332416055622976,0.014059813265531,0.01424291177799194,3.407931365286258,0,1,1,1,1
0.10221737715284118,0.1847355571511433,0.1834464571569674,3.0459207484708655,0,1,1,1,1
0.21598059493598917,0.5062702368364327,0.5026379782411743,5.590763193829587,0,1,1,1,1
0.1931530194370354,0.4092213592962836,0.4010237435145457,4.619759099885774,1,1,1,1,1
0.09552401773299445,0.1758044119503847,0.17155819485019427,2.320496802829303,1,1,1,1,1
0.05997403393407792,0.0987842706274588,0.10011395208945784,1.575524931315616,1,1,1,1,1
-0.06838734256693706,-0.190771118483457,-0.18571204504650107,-0.9598677536297254,1,1,1,1,1
0.0267759236682772,0.03474352799650251,0.0353435776888833,0.9164366997439888,1,1,1,1,1
-0.09781374365629628,-0.24639583782694105,-0.23948734779254088,-1.4879924434185303,1,1,1,1,1
-0.02217314185180631,0.01858129950952976,0.01899362742724968,-0.04410143401135703,1,1,1,1,1
-0.11135377397849242,0.06374845753023671,0.06356845728070083,-1.6904317121660204,1,1,1,1,1
1.1791372679907204,-0.10087356219186402,-0.08314418401484035,23.94301214277415,1,1,1,1,1
-0.01472174426887321,-0.3364262565057491,-0.3271736198596107,-0.07064641763271062,1,1,1,1,1
-0.02614512796750627,0.09230190893851224,0.09367137563596604,-0.35398267051240623,1,1,1,1,1
0.00411704001663107,0.08198706037756859,0.08338139431464565,0.21253993123135367,1,1,1,1,1
0.04054403543347318,0.0969848965274366,0.05877368398797104,0.8807525668199278,1,1,1,1,1
0.2093443678649991,0.4481161094804492,0.458116752688972,3.988153137814983,1,1,1,1,1
-0.329162722915898,-0.8817869449781633,-0.8812056273951381,-5.971923470162231,1,1,1,1,1
0.00943969339899623,-0.11937550077200504,-0.1185299351328012,0.35714323675971793,1,1,1,1,1
0.07463822039214656,0.11776525753350169,0.13020757043321857,1.5564516541111548,1,1,1,1,1
-0.09221558621938596,-0.2955824511783028,-0.28686748702845555,-1.592108634342753,1,1,1,1,1
-0.20269358085077743,0.03905427192140299,0.03784613974776925,-3.557543942374734,1,1,1,1,1
-0.00220572343480387,-0.02456367938152455,-0.02514960065375067,0.11080333543618644,1,1,1,1,1
0.00981741666740022,0.10138046672144171,0.0984899998409512,0.33167526259938207,1,1,1,1,1
-0.02758871783346549,-0.13059328182965435,-0.11747492591001518,-0.3316752625993927,1,1,1,1,1
